enabled,id,date,displayDate,sequence,forceId,type,title,description,locationName,lat,lng,participants,importance,sourceIds,certainty,notes,result,casualties,redJoined,redLosses,enemyDefeated,distanceLi,victory,poemLine,poemTitle,poemText,titleEn,descriptionEn,locationNameEn
TRUE,rf_19350128_tucheng,19350128,19350128,130,red_first,战斗,土城战斗后调整渡江计划,土城战斗未能达到预期，中央红军随即调整行动，转而西渡赤水，拉开四渡赤水机动作战序幕。,贵州习水土城,28.33,106.2,毛泽东; 周恩来; 朱德; 中央红军,4,src_cpc_century,medium,,,,,,,,,,,,Red First Front Army: Battle at 贵州习水土城,This node marks a battle event on the Red First Front Army route near 贵州习水土城 (19350128).,
TRUE,rf_19350129_tucheng_chishui1,19350129,19350129,12,red_first,战役,一渡赤水，转入川南,中央红军在土城战斗后西渡赤水，开启四渡赤水机动作战。,贵州土城/赤水河,28.17,106.17,毛泽东; 朱德; 周恩来; 中央红军,5,src_zunyi_hunan,medium,,,,,,,,,,,,Red First Front Army: Campaign at 贵州土城/赤水河,This node marks a campaign event on the Red First Front Army route near 贵州土城/赤水河 (19350129).,
TRUE,r25_19350131_caiyuyao,19350131,19350131,145,red_25th,战斗,蔡玉窑战斗重创追敌,春节前后，红二十五军在陕南连续作战，为创建鄂豫陕根据地打开局面。,陕西柞水蔡玉窑一带,33.68,109.13,红二十五军,4,src_red25_base_ujn,medium,,取得战斗胜利,,,,,,TRUE,,,,Red Twenty-Fifth Army: Battle at 陕西柞水蔡玉窑一带,This node marks a battle event on the Red Twenty-Fifth Army route near 陕西柞水蔡玉窑一带 (19350131).,
TRUE,en_19350201_chishui_pursuit,19350201,19350201,132,enemy_kmt,追堵,川黔敌军围堵赤水河流域,中央红军一渡赤水后，国民党军调集多路部队试图在川黔边界围堵红军。,川黔赤水河流域,28.58,105.7,国民党军; 中央红军,3,src_cpc_century,medium,,,,,,,,,,,,KMT forces: Pursuit at 川黔赤水河流域,This node marks a pursuit event on the KMT forces route near 川黔赤水河流域 (19350201).,
TRUE,rf_19350205_hezizhen,19350205,19350205,15,red_first,生活,贺子珍川南生女并含泪托孤,中央红军转战川南古蔺一带时，贺子珍生下一名女婴。因部队急行军和敌情紧迫，孩子被寄养当地群众家中，个体命运折射长征的人间苦难。,四川古蔺白沙场一带,28.04,105.81,贺子珍; 毛泽东; 当地群众,4,src_hezizhen_people,medium,,,,,,,,,,,,He Zizhen gives birth in southern Sichuan and entrusts the child to locals,"In the Gulin area of southern Sichuan, He Zizhen gave birth during the march. Under urgent military pressure, the infant was entrusted to local people, reflecting the human suffering behind the campaign.","Baishachang area, Gulin, Sichuan"
TRUE,r25_19350205_wengongling,19350205,19350205,155,red_25th,战斗,文公岭战斗奠定陕南根据地基础,红二十五军在文公岭一带打击陕军，为建立第二块革命根据地创造条件。,陕西蓝田文公岭一带,34.05,109.33,吴焕先; 程子华; 徐海东; 红二十五军,4,src_red25_base_ujn,medium,,重创陕军第126旅相关部队,,,,,,TRUE,,,,Red Twenty-Fifth Army: Battle at 陕西蓝田文公岭一带,This node marks a battle event on the Red Twenty-Fifth Army route near 陕西蓝田文公岭一带 (19350205).,
TRUE,rf_19350209_zhaxi,19350209,19350209,16,red_first,会议,扎西会议继续调整中央领导与军事部署,遵义会议后，中央红军向川滇黔边转进，在扎西一带继续讨论组织分工、军事行动和根据地问题，推动遵义会议精神落实。,云南威信扎西,27.85,105.05,毛泽东; 周恩来; 张闻天; 中共中央政治局,4,src_party_chronology_xinhua; src_cpc_century,medium,,,,,,,,,,,,The Zhaxi meetings continue organizational and military adjustments,"After the Zunyi Meeting, the Central Red Army moved through the Sichuan-Yunnan-Guizhou border area; meetings near Zhaxi continued the adjustment of leadership and military deployment.","Zhaxi, Weixin, Yunnan"
TRUE,sha_19350215_shangang_unify,19350215,19350215,14,shaanbei_red,根据,陕甘边与陕北革命根据地统一为陕甘革命根据地,陕甘边革命根据地与陕北革命根据地统一为陕甘革命根据地，又称西北革命根据地，成为土地革命战争后期保存较完整的重要根据地。,陕甘边/陕北根据地,36.6,108.8,刘志丹; 谢子长; 习仲勋; 陕甘边军民,5,src_shaanbei_12371; src_liuzhidan_mva,month,,,,,,,,,,,,Shaan-Gan: Base building at 陕甘边/陕北根据地,This node marks a base building event on the Shaan-Gan route near 陕甘边/陕北根据地 (19350215).,
TRUE,rf_19350218_taipingdu_chishui2,19350218,19350218,13,red_first,战役,二渡赤水，回师黔北,中央红军由太平渡、二郎滩等地二渡赤水，回师黔北，寻机打击敌军。,贵州习水太平渡,28.15,106.24,中央红军,5,src_zunyi_hunan,medium,,,,,,,,,,,,Red First Front Army: Campaign at 贵州习水太平渡,This node marks a campaign event on the Red First Front Army route near 贵州习水太平渡 (19350218).,
TRUE,rf_19350225_loushanguan,19350225,19350225,15,red_first,战斗,娄山关战斗与遵义大捷,中央红军夺取娄山关并再克遵义，是长征以来一次重要胜利，提振士气。,贵州娄山关,28.13,106.86,中央红军,5,src_zunyi_hunan,medium,,,,,,,,TRUE,,,,Red First Front Army: Battle at 贵州娄山关,This node marks a battle event on the Red First Front Army route near 贵州娄山关 (19350225).,
TRUE,rf_19350227_dengping,19350227,19350227,180,red_first,牺牲,邓萍在遵义城下侦察敌情时牺牲,红三军团参谋长邓萍在遵义战役前线侦察敌情时中弹牺牲，是长征途中牺牲的红军高级指挥员之一。,贵州遵义老城,27.7,106.93,邓萍; 张爱萍; 红三军团,5,src_dengping_people_2025; src_zunyi_hunan,high,,,邓萍牺牲，年仅27岁。,,,,,,,,,Red First Front Army: Sacrifice at 贵州遵义老城,This node marks a sacrifice event on the Red First Front Army route near 贵州遵义老城 (19350227).,
TRUE,rf_19350310_gouba,19350310,19350310,19,red_first,会议,苟坝会议围绕作战方针展开争论,中央红军在遵义以南苟坝一带召开会议，围绕是否进攻打鼓新场等问题展开争论。该节点用于表现长征中的军事决策并非线性推进，而是在危局中反复权衡。,贵州遵义苟坝,27.48,106.72,毛泽东; 周恩来; 朱德; 中共中央负责人,4,src_party_chronology_xinhua; src_cpc_century,medium,,,,,,,,,,,,The Gouba Meeting debates operational direction,"Near Gouba south of Zunyi, Red Army leaders debated operational choices under urgent military pressure, showing how decisions were repeatedly weighed amid crisis.","Gouba, Zunyi, Guizhou"
TRUE,rf_19350316_maotai_chishui3,19350316,19350316,16,red_first,战役,三渡赤水，西进川南,中央红军由茅台及其附近三渡赤水，再次造成敌军判断混乱。,贵州茅台,27.85,106.38,中央红军,4,src_zunyi_hunan,medium,,,,,,,,,,,,Red First Front Army: Campaign at 贵州茅台,This node marks a campaign event on the Red First Front Army route near 贵州茅台 (19350316).,
TRUE,en_19350320_chishui_encircle,19350320,19350320,20,enemy_kmt,围堵,赤水河两岸敌军重兵围堵,四渡赤水期间，中央红军在川黔滇边敌军重兵之间穿插机动，以不规则转进打乱围堵部署。,川黔赤水河流域,28.59,105.69,国民党军; 中央红军,5,src_epic_people; src_party_chronology_xinhua,medium,,,,,,,,,,,,Enemy forces attempt encirclement along the Chishui River,"During the Four Crossings of the Chishui, the Central Red Army maneuvered through heavy enemy pressure in the Sichuan-Guizhou-Yunnan border region.",Chishui River region
TRUE,rf_19350321_erlangtan_chishui4,19350321,19350321,17,red_first,战役,四渡赤水，跳出重围,中央红军四渡赤水，佯动与机动结合，摆脱敌军围追堵截。,贵州二郎滩,28.12,106.28,中央红军,5,src_zunyi_hunan,medium,,,,,,,,,,,,Red First Front Army: Campaign at 贵州二郎滩,This node marks a campaign event on the Red First Front Army route near 贵州二郎滩 (19350321).,
TRUE,r4_19350328_jialingjiang,19350328,19350328,18,red_fourth,战役,红四方面军强渡嘉陵江,红四方面军发起嘉陵江战役，突破嘉陵江防线。以此作为红四方面军战略转移的可视化起点；另有口径将放弃川陕苏区后的5月初作为长征起点。,四川苍溪嘉陵江,31.73,105.93,徐向前; 陈昌浩; 红四方面军,5,src_meetings_xinhua,口径有差异,,,,,,,,,,,,Red Fourth Front Army: Campaign at 四川苍溪嘉陵江,This node marks a campaign event on the Red Fourth Front Army route near 四川苍溪嘉陵江 (19350328).,
TRUE,rf_19350329_wujiang_south,19350329,19350329,19,red_first,渡河,南渡乌江，佯逼贵阳,中央红军南渡乌江并向贵阳方向运动，调动敌军，为西进云南、北渡金沙江创造条件。,贵州乌江一线,27.3,106.7,中央红军,4,src_zunyi_hunan,medium,,,,,,,,,,,,Red First Front Army: River crossing at 贵州乌江一线,This node marks a river crossing event on the Red First Front Army route near 贵州乌江一线 (19350329).,
TRUE,rf_19350331_guiyang,19350331,19350331,220,red_first,转进,佯逼贵阳，调动敌军,中央红军南渡乌江后佯逼贵阳，迫使敌军调动，为随后西进云南、巧渡金沙江创造条件。,贵州贵阳周边,26.65,106.63,中央红军; 国民党军,4,src_cpc_century,medium,,,,,,,,,,,,Red First Front Army: March at 贵州贵阳周边,This node marks a march event on the Red First Front Army route near 贵州贵阳周边 (19350331).,
TRUE,rf_19350409_kunming,19350409,19350409,230,red_first,转进,兵临昆明，迫使敌军回援,中央红军向昆明方向急进，制造威胁，调动云南方向敌军，为北渡金沙江赢得时间。,云南昆明周边,25.04,102.71,中央红军,4,src_cpc_century,medium,,,,,,,,,,,,Red First Front Army: March at 云南昆明周边,This node marks a march event on the Red First Front Army route near 云南昆明周边 (19350409).,
TRUE,r25_19350418_huayang,19350418,19350418,24,red_25th,根据,红二十五军在华阳一带开展群众工作,红二十五军在秦岭南麓与陕南地区活动，通过宣传抗日、发动群众和扩充队伍，推动鄂豫陕根据地继续发展。,陕西洋县华阳,33.59,107.54,红二十五军; 当地群众,3,src_red25_people,medium,,,,,,,,,,,,The 25th Red Army carries out mass work near Huayang,"Near Huayang in southern Shaanxi, the 25th Red Army promoted anti-Japanese propaganda, mobilized local people and expanded its forces.","Huayang, Yangxian, Shaanxi"
TRUE,r4_19350421_jialing_end,19350421,19350421,23,red_fourth,战役,嘉陵江战役结束，红四方面军控制大片区域,红四方面军强渡嘉陵江后，历时二十余日作战，向川甘边推进并控制大片地区，为后续西进与会师创造条件。,四川苍溪至阆中一线,31.74,105.93,徐向前; 陈昌浩; 红四方面军,4,src_epic_people; src_meetings_xinhua,medium,,,,,,,,,,,,The Jialing River Campaign ends with the Fourth Front Army pushing west,"After crossing the Jialing River, the Fourth Front Army fought for more than twenty days and pushed toward the Sichuan-Gansu border.","Cangxi-Langzhong line, Sichuan"
TRUE,en_19350428_jinsha_block,19350428,19350428,27,enemy_kmt,封锁,云南方向试图封锁金沙江渡口,中央红军逼近金沙江时，敌军试图依托江防和地方部队封锁渡口。红军快速机动抢占渡口，跳出包围圈。,云南皎平渡附近,26.29,102.94,国民党军; 中央红军,4,src_epic_people; src_party_chronology_xinhua,medium,,,,,,,,,,,,Enemy forces attempt to block Jinsha River crossings,"As the Red Army approached the Jinsha River, enemy forces tried to block the ferries, but rapid maneuver secured crossing points.","Jiaopingdu area, Yunnan"
TRUE,rf_19350429_jiaopingdu_start,19350429,19350429,20,red_first,渡河,巧渡金沙江开始,中央红军抢占金沙江渡口，准备利用少量船只渡江，摆脱南岸追兵。,云南禄劝皎平渡,26.13,102.52,中央红军,5,src_zunyi_hunan; src_qilv_dangjian_2024; src_qilv_people,medium,,,,,,,,,金沙水拍云崖暖,金沙江的“暖”,在皎平渡一带渡过金沙江后，中央红军甩开追敌，获得战略主动。诗句中的“暖”，指向绝处逢生后的舒展与希望。,Red First Front Army: River crossing at 云南禄劝皎平渡,This node marks a river crossing event on the Red First Front Army route near 云南禄劝皎平渡 (19350429).,
TRUE,r4_19350501_leave_soviet_area,19350501,19350501,21,red_fourth,转进,红四方面军离开川陕根据地向西转移,红四方面军在嘉陵江战役后继续向川西北转移，与中央红军会合。该节点用于补足红四方面军从嘉陵江向懋功的路线段。,四川广元/剑阁一带,32.23,105.83,徐向前; 陈昌浩; 张国焘,4,src_meetings_xinhua,approximate,,,,,,,,,,,,Red Fourth Front Army: March at 四川广元/剑阁一带,This node marks a march event on the Red Fourth Front Army route near 四川广元/剑阁一带 (19350501).,
TRUE,rf_19350503_jinsha_crossing,19350503,19350503,22,red_first,渡河,中央红军主力渡过金沙江,1935年5月3日至9日，中央红军仅凭少量渡船连续渡过金沙江，摆脱敌军重兵围追堵截。,云南皎平渡,26.13,102.52,中央红军,5,src_zunyi_hunan; src_qilv_dangjian_2024; src_qilv_people,medium,,,,,,,,,金沙水拍云崖暖,金沙江的“暖”,在皎平渡一带渡过金沙江后，中央红军甩开追敌，获得战略主动。诗句中的“暖”，指向绝处逢生后的舒展与希望。,Red First Front Army: River crossing at 云南皎平渡,This node marks a river crossing event on the Red First Front Army route near 云南皎平渡 (19350503).,
TRUE,r25_19350505_base4,19350505,19350505,282,red_25th,根据,鄂豫陕根据地初步形成四块区域,至1935年5月初，红二十五军在三省边界地区建立多块根据地，红军长征在途中播撒新的革命火种。,鄂豫陕边区商洛一带,33.87,109.94,红二十五军; 地方群众,4,src_red25_base_ujn,medium,,,,,,,,,,,,Red Twenty-Fifth Army: Base building at 鄂豫陕边区商洛一带,This node marks a base building event on the Red Twenty-Fifth Army route near 鄂豫陕边区商洛一带 (19350505).,
TRUE,rf_19350512_huili,19350512,19350512,25,red_first,会议,会理会议总结机动作战经验,中央红军渡过金沙江后在会理一带召开会议，总结渡江与机动作战经验，统一认识，准备继续北上。,四川会理,26.66,102.24,毛泽东; 周恩来; 朱德; 中央红军领导层,4,src_party_chronology_xinhua; src_cpc_century,medium,,,,,,,,,,,,The Huili Meeting reviews mobile warfare after the Jinsha crossing,"After crossing the Jinsha River, leaders met around Huili to review mobile warfare and prepare for the northward march.","Huili, Sichuan"
TRUE,rf_19350522_yihai_alliance,19350522,19350522,23,red_first,民族,刘伯承与小叶丹彝海结盟,中央红军进入凉山彝族地区后，严格执行民族纪律。刘伯承与彝族果基部落首领小叶丹在彝海边按彝族习俗歃血为盟，小叶丹派向导带路，帮助红军顺利通过彝族地区。,四川冕宁彝海,28.78,102.17,刘伯承; 小叶丹; 彝族向导; 中央红军先遣队,5,src_yihai_people,medium,,,,,,,,,,,,Red First Front Army: Alliance at 四川冕宁彝海,This node marks a alliance event on the Red First Front Army route near 四川冕宁彝海 (19350522).,
TRUE,rfour_19350522_tumen,19350522,19350522,330,red_fourth,战役,土门战役胜利，打破北川河谷封锁,红四方面军发动土门战役，打破敌军固守北川河谷的企图，向岷江上游推进。,四川北川土门一带,31.85,104.45,红四方面军,5,src_redfourth_sichuan,medium,,歼敌10000余人,,,,10000,,TRUE,,,,Red Fourth Front Army: Campaign at 四川北川土门一带,This node marks a campaign event on the Red Fourth Front Army route near 四川北川土门一带 (19350522).,
TRUE,rf_19350525_anshunchang,19350525,19350525,24,red_first,战斗,强渡大渡河,刘伯承、聂荣臻等指挥先遣部队在安顺场强渡大渡河，为红军北上打开通道。,四川石棉安顺场,29.23,102.35,刘伯承; 聂荣臻; 孙继先; 十八勇士,5,src_zunyi_hunan,medium,,,,,,,,,,,,Red First Front Army: Battle at 四川石棉安顺场,This node marks a battle event on the Red First Front Army route near 四川石棉安顺场 (19350525).,
TRUE,en_19350525_dadu_block,19350525,19350525,30,enemy_kmt,封锁,大渡河一线敌军封锁与追击,红军逼近大渡河、泸定桥时，敌军试图借天险阻截。强渡大渡河和飞夺泸定桥成为突破天险封锁的关键节点。,四川安顺场—泸定桥一线,29.23,102.23,国民党军; 中央红军,5,src_epic_people; src_party_chronology_xinhua,medium,,,,,,,,,,,,Enemy blockade along the Dadu River line,Enemy forces tried to use the Dadu River and Luding Bridge as natural barriers; the Red Army broke through by forced crossing and assault.,"Anshunchang-Luding line, Sichuan"
TRUE,rf_19350529_luding_bridge,19350529,19350529,25,red_first,战斗,飞夺泸定桥,红四团22名勇士冒着火力攀爬铁索，夺取泸定桥，保障红军主力渡过大渡河。,四川泸定桥,29.92,102.23,王开湘; 杨成武; 红四团22名勇士,5,src_zunyi_hunan; src_qilv_dangjian_2024; src_qilv_people,medium,,,,,,,,,大渡桥横铁索寒,铁索桥上的寒光,泸定桥横跨大渡河，铁索凌空、枪火交织。诗中的“寒”，凝聚了天险、火线与牺牲。,Red First Front Army: Battle at 四川泸定桥,This node marks a battle event on the Red First Front Army route near 四川泸定桥 (19350529).,
TRUE,rf_19350602_jiajinshan,19350602,19350602,26,red_first,险阻,中央红军翻越夹金山,中央红军翻越长征中的第一座大雪山夹金山，行军进入川西北高寒地区。,四川宝兴夹金山,30.37,102.82,中央红军,4,src_meetings_xinhua,medium,,,,,,,16500,,,,,Red First Front Army: Hardship at 四川宝兴夹金山,This node marks a hardship event on the Red First Front Army route near 四川宝兴夹金山 (19350602).,
