enabled,id,name,nameEn,personType,birthDate,deathDate,hometown,hometownEn,forceId,summary,summaryEn,portrait,themeTags,sourceIds,certainty,sort
TRUE,xiao_ke,萧克,Xiao Ke,军事指挥,1907-07-14,2008-10-24,湖南嘉禾,"Jiahe, Hunan",red_second,红二、六军团和红二方面军重要指挥员。人物线连接桑植出发、乌蒙山回旋、甘孜整编和北上会师。,"A major commander of the Second and Sixth Corps and the Red Second Front Army. His timeline connects Sangzhi, the Wumeng maneuver, Garze reorganization, and final northward convergence.",,红二方面军;乌蒙山;甘孜整编,src_red2_start_12371;src_wumeng_people_2023;src_ganzi_12371,high,320
TRUE,wang_zhen,王震,Wang Zhen,军事指挥,1908-04-11,1993-03-12,湖南浏阳,"Liuyang, Hunan",red_second,红二、六军团和红二方面军重要指挥员。人物线可连接桑植出发、乌蒙山回旋和甘孜整编。,"A major commander in the Second and Sixth Corps and the Red Second Front Army. His timeline connects Sangzhi, Wumeng, and Garze reorganization.",,红二方面军;乌蒙山;整编,src_red2_start_12371;src_wumeng_people_2023;src_ganzi_12371,high,330
TRUE,guan_xiangying,关向应,Guan Xiangying,政治工作,1902-09-10,1946-07-21,辽宁金县,"Jinxian, Liaoning",red_second,红二、六军团和红二方面军重要政治工作领导人。人物线体现红二方面军长征中的组织、宣传和整编过程。,"A major political-work leader of the Second and Sixth Corps and the Red Second Front Army. His timeline shows organization, propaganda, and reorganization during the march.",,红二方面军;政治工作;甘孜整编,src_red2_start_12371;src_ganzi_12371,high,340
TRUE,xi_zhongxun,习仲勋,Xi Zhongxun,根据地建设,1913-10-15,2002-05-24,陕西富平,"Fuping, Shaanxi",shaanbei_red,陕甘边革命根据地重要创建者之一。人物线说明长征落脚点不是孤立终点，而是与西北地方革命长期经营相连。,One of the important builders of the Shaanxi-Gansu border base. His timeline shows that the Long March landing point was connected to long-running local revolutionary work.,,南梁;陕甘根据地;落脚点,src_shaanbei_12371,high,350
TRUE,du_heng,杜衡,,争议人物,,,,,shaanbei_red,补充材料中出现的陕甘边早期组织和军事行动相关人物，用于补足西北根据地前史线索。,,,陕甘边;根据地前史;补充线索,src_steam_longmarch_1934_1936,low,801
TRUE,wang_shitai,王世泰,,军事指挥,,,,,shaanbei_red,补充材料中作为陕甘边早期红军干部出现，关联红二十六军与照金、南梁等根据地建设线索。,,,陕甘边;红二十六军;补充线索,src_steam_longmarch_1934_1936,low,802
TRUE,jin_like,金理科,,政治工作,,,,,shaanbei_red,补充材料中出现于照金和陕甘边特委相关叙述，用于呈现根据地组织层面的前史。,,,照金;陕甘边特委;补充线索,src_steam_longmarch_1934_1936,low,803
TRUE,zhou_dongzhi,周冬至,,根据地建设,,,,,shaanbei_red,补充材料中出现于陕甘边革命委员会相关叙述，补充根据地政权建设人物线索。,,,陕甘边;革命委员会;补充线索,src_steam_longmarch_1934_1936,low,804
TRUE,wang_taiji,王泰吉,,军事指挥,,,,,shaanbei_red,补充材料中出现于陕甘边红军临时总指挥部和红二十六军相关叙述。,,,陕甘边;红二十六军;补充线索,src_steam_longmarch_1934_1936,low,805
TRUE,gao_gang,高岗,,根据地建设,,,,,shaanbei_red,补充材料中多次出现于陕甘边、陕北根据地统一领导和军事组织相关叙述。,,,西北根据地;政治工作;补充线索,src_steam_longmarch_1934_1936,low,806
TRUE,guo_hongtao,郭洪涛,,政治工作,,,,,shaanbei_red,补充材料中出现于陕北红军游击队总指挥部等组织建设线索。,,,陕北红军;组织建设;补充线索,src_steam_longmarch_1934_1936,low,807
TRUE,he_jinnian,贺晋年,,军事指挥,,,,,shaanbei_red,补充材料中出现于陕北游击队和西北红军相关叙述，补充落脚点形成前的地方武装线索。,,,陕北游击队;西北红军;补充线索,src_steam_longmarch_1934_1936,low,808
TRUE,yang_qi,杨琪,,军事指挥,,,,,shaanbei_red,补充材料中出现于红二十七军第八十四师相关叙述，是陕北根据地武装整编线索人物。,,,红二十七军;整编;补充线索,src_steam_longmarch_1934_1936,low,809
TRUE,zhang_dazhi,张达志,,政治工作,,,,,shaanbei_red,补充材料中出现于陕北红军整编与根据地建设相关叙述。,,,陕北根据地;整编;补充线索,src_steam_longmarch_1934_1936,low,810
TRUE,ma_mingfang,马明方,,根据地建设,,,,,shaanbei_red,补充材料中出现于陕北苏维埃政府成立等根据地政权建设线索。,,,陕北苏维埃;根据地建设;补充线索,src_steam_longmarch_1934_1936,low,811
TRUE,pan_hannian,潘汉年,,政治工作,,,,,red_first,补充材料中以潘健行、潘汉年等称谓出现，关联中央红军战略转移前的秘密谈判线索。,,,寻乌会谈;战略转移;补充线索,src_steam_longmarch_1934_1936,low,812
TRUE,he_changgong,何长工,,政治工作,,,,,red_first,补充材料中出现于中央红军转移前后秘密接洽和行动准备线索。,,,战略转移;谈判;补充线索,src_steam_longmarch_1934_1936,low,813
TRUE,chen_jitang,陈济棠,,相关对手,,,,,enemy_kmt,补充材料中作为粤军方面人物出现，关联中央红军转移前的秘密谈判与借道线索。,,,粤军;寻乌会谈;补充线索,src_steam_longmarch_1934_1936,low,814
TRUE,bai_chongxi,白崇禧,,相关对手,,,,,enemy_kmt,补充材料中作为桂军方面人物出现，用于说明湘江前后敌军部署和封锁压力。,,,桂军;湘江;补充线索,src_steam_longmarch_1934_1936,low,815
TRUE,he_jian,何键,,相关对手,,,,,enemy_kmt,补充材料中多次出现于湘军追堵、湖南封锁和红二、红六军团牵制行动叙述。,,,湘军;追堵;补充线索,src_steam_longmarch_1934_1936,low,816
TRUE,xue_yue,薛岳,,相关对手,,,,,enemy_kmt,补充材料中出现于中央红军和红二、红六军团周边追堵部署线索。,,,追堵;国民党军;补充线索,src_steam_longmarch_1934_1936,low,817
TRUE,zhang_xueliang,张学良,,相关对手,,,,,enemy_kmt,补充材料中出现于鄂豫皖和红二十五军所处军事压力背景。,,,鄂豫皖;东北军;补充线索,src_steam_longmarch_1934_1936,low,818
TRUE,dai_jiying,戴季英,,政治工作,,,,,red_25th,补充材料中出现于红二十五军鄂豫皖根据地和战略转移前后叙述。,,,红二十五军;鄂豫皖;补充线索,src_steam_longmarch_1934_1936,low,819
TRUE,zheng_weisan,郑位三,,政治工作,,,,,red_25th,补充材料中出现于鄂东北道委和红二十五军行动决策相关叙述。,,,鄂东北;红二十五军;补充线索,src_steam_longmarch_1934_1936,low,820
TRUE,xun_huaizhou,寻淮洲,,军事指挥,,,,,red_7th_advance,补充材料中出现于红七军团北上抗日先遣队叙述，是先遣队人物线索的核心之一。,,,红七军团;北上抗日先遣队;补充线索,src_steam_longmarch_1934_1936,low,821
TRUE,le_shaohua,乐少华,,政治工作,,,,,red_7th_advance,补充材料中出现于红七军团北上抗日先遣队相关战斗和转移叙述。,,,红七军团;北上抗日先遣队;补充线索,src_steam_longmarch_1934_1936,low,822
TRUE,su_yu,粟裕,,军事指挥,,,,,red_7th_advance,补充材料中出现于红七军团北上抗日先遣队战斗叙述，连接先遣队与后续革命军事人物线索。,,,红七军团;北上抗日先遣队;补充线索,src_steam_longmarch_1934_1936,low,823
TRUE,li_xiannian,李先念,,军事指挥,,,,,red_fourth,补充材料和项目路线中均可关联红四方面军行动，用于补足红四方面军人物层。,,,红四方面军;北上;补充线索,src_steam_longmarch_1934_1936,low,824
TRUE,liu_xiang,刘湘,,相关对手,,,,,enemy_kmt,补充材料中出现于川军与红四方面军作战背景，补充川陕苏区和嘉陵江前后的军事压力。,,,川军;川陕苏区;补充线索,src_steam_longmarch_1934_1936,low,825
TRUE,liu_wenhui,刘文辉,,相关对手,,,,,enemy_kmt,补充材料中出现于四川地方军政背景，用于说明红四方面军长征前后的区域压力。,,,川军;四川地方势力;补充线索,src_steam_longmarch_1934_1936,low,826
TRUE,xia_xi,夏曦,,政治工作,,,,,red_second,补充材料中出现于湘鄂川黔边临时省委和红二、红六军团早期行动叙述。,,,湘鄂川黔;红二、红六军团;补充线索,src_steam_longmarch_1934_1936,low,827
TRUE,zhang_ziyi,张子意,,政治工作,,,,,red_second,补充材料中出现于湘鄂川黔边临时省委相关叙述，补充红二、红六军团组织层人物。,,,湘鄂川黔;组织建设;补充线索,src_steam_longmarch_1934_1936,low,828
TRUE,chen_quzhen,陈渠珍,,相关对手,,,,,enemy_kmt,补充材料中出现于红二、红六军团湘西攻势和沅陵、常德周边军事压力。,,,湘西;红二、红六军团;补充线索,src_steam_longmarch_1934_1936,low,829
TRUE,liao_huaizhong,廖怀中,,相关对手,,,,,enemy_kmt,补充材料中出现于沅陵防守和红二、红六军团攻势相关叙述。,,,沅陵;湘军;补充线索,src_steam_longmarch_1934_1936,low,830
TRUE,dai_jitao,戴季韬,,相关对手,,,,,enemy_kmt,补充材料中出现于沅陵周边布防线索，作为红二、红六军团湘西行动的对照人物。,,,沅陵;湘西攻势;补充线索,src_steam_longmarch_1934_1936,low,831
TRUE,zhou_xieqing,周燮卿,,相关对手,,,,,enemy_kmt,补充材料中出现于沅陵周边布防线索，补充红二、红六军团行动的地方军事背景。,,,沅陵;湘西攻势;补充线索,src_steam_longmarch_1934_1936,low,832


